meter	ˈmeːtəɾ
unnskyldning	ˈʊnˌʃʏlnɪŋ
angrep	ˈɑŋˌɡɾeːp
morges	ˈmɔɾəs
mening	ˈmeːnɪŋ
løs	ˈløːs
jentene	ˈjɛntnə
lagt	ˈlɑkt
jævel	ˈjæːʋəl
drikker	ˈdɾɪkəɾ
dumme	ˈdʊmə
bilder	ˈbɪldəɾ
forrige	ˈfɔɾɪə
trekk	ˈtɾɛk
etterpå	ˈɛtəɾˌpoː
informasjon	ɪnfɔɾmɑˈʃuːn
advokat	ɑdʋʊˈkɑːt
tilgi	ˈtɪlˌjiː
pleide	ˈplæɪdə
bildet	ˈbɪldə
folkens	ˈfɔlkəns
slutter	ˈʃlʊtəɾ
sov	ˈsoːʋ
både	ˈboːdə
jorden	ˈjuːɾən
slike	ˈʃliːkə
kjempe	ˈçɛmpə
levende	ˈleːʋənə
lukter	ˈlʊktəɾ
maten	ˈmɑːtn
fbi	ˌɛfbeːˈiː
ma	ˈmɑː
trygg	ˈtɾʏɡ
film	ˈfɪlm
betalt	bəˈtɑːlt
alex	ˈɑləks
kongen	ˈkɔŋən
ordner	ˈɔɖɳəɾ
ferdige	ˈfæɖɪə
høy	ˈhœʏ
møtes	ˈmøːtəs
selger	ˈsɛləɾ
virket	ˈʋɪɾkət
het	ˈheːt
området	ˈɔmˌɾoːdə
presidenten	pɾəsɪˈdɛntn
fine	ˈfiːnə
kaster	ˈkɑstəɾ
fru	ˈfɾʉː
viste	ˈʋɪstə
støtte	ˈstœtə
n	ˈɛn
syntes	ˈsʏntəs
drep	ˈdɾeːp
ræva	ˈɾɛʋɑ
forsvant	fɔˈʂʋɑnt
skrevet	ˈskɾeːʋə
