㞎㞎	pa̠⁴¹ pa̠³
光蒂脑么旋	ku̯an³³ ti⁴⁵ lɒu̯⁴¹ mo³ t͡ɕi̯ẽ³
光蒂腦麼旋	ku̯an³³ ti⁴⁵ lɒu̯⁴¹ mo³ t͡ɕi̯ẽ³
光裤带	ku̯an³³ kʰu⁴⁵ tai̯⁴⁵
光褲帶	ku̯an³³ kʰu⁴⁵ tai̯⁴⁵
免	mi̯ẽ⁴¹
兒	ɤ̞¹³
兔	tʰəu̯⁴⁵
兔子	tʰəu̯⁴⁵ t͡sz̩³
党	tan⁴¹
兜	təu̯³³
兜兜	təu̯³³ təu̯³³
兜底	təu̯³³ ti³
入	y²⁴
內	le̞i̯²¹
全	t͡ɕʰi̯ẽ¹³
兩	li̯æn⁴¹
兩公婆	li̯æn⁴¹ kən³³ po¹³
兩夫妻	li̯æn⁴¹ ɸu³³ t͡ɕʰi³³
兩姑嫂	li̯æn⁴¹ ku³³ sɒu̯⁴¹
兩娘崽	li̯æn⁴¹ n̠ʲi̯æn¹³ t͡sai̯⁴¹
兩婆媳	li̯æn⁴¹ po¹³ ɕi²⁴
兩爺崽	li̯æn⁴¹ i̯a̠¹³ t͡sai̯⁴¹
八	pa̠²⁴
八哥子	pa̠²⁴ ko²⁴ t͡sz̩³
八开	pa̠²⁴ kʰai̯³³
八月十五	pa̠²⁴ y̯e̞²⁴ sz̩²⁴ u⁴¹
八月節	pa̠²⁴ y̯e̞²⁴ t͡ɕi̯e̞²⁴
八月节	pa̠²⁴ y̯e̞²⁴ t͡ɕi̯e̞²⁴
八角茴	pa̠²⁴ ko²⁴ ɸe̞i̯¹³
八開	pa̠²⁴ kʰai̯³³
八面子	pa̠²⁴ mi̯ẽ²¹⁻¹¹ t͡sz̩³
公	kən³³
公公	kən³³ kən³
公共	kən³³ kən⁴⁵
公共汽車	kən³³ kən⁴⁵ t͡ɕʰi⁴⁵ t͡sʰɤ̞³³
公共汽车	kən³³ kən⁴⁵ t͡ɕʰi⁴⁵ t͡sʰɤ̞³³
公子	kən³³ t͡ɕi³
公茅厕	kən³³ mɒu̯¹³ ɕi³
公茅廁	kən³³ mɒu̯¹³ ɕi³
公路	kən³³ ləu̯²¹⁻¹¹
公驢子	kən³³ li¹³ t͡sz̩³
公驴子	kən³³ li¹³ t͡sz̩³
六	ləu̯²⁴
兰	l̃an¹³
兰花根	l̃an¹³ ɸa̠³³ kən³³
共	kən²¹
共和	kən²¹⁻¹¹ xo¹³
共和国	kən²¹⁻¹¹ xo¹³ ku̯ɤ̞²⁴
共和國	kən²¹⁻¹¹ xo¹³ ku̯ɤ̞²⁴
共娘隔爷	kən⁴⁵ n̠ʲi̯æn¹³ kɤ̞²⁴ i̯a̠¹³
共娘隔爺	kən⁴⁵ n̠ʲi̯æn¹³ kɤ̞²⁴ i̯a̠¹³
共爷隔娘	kən⁴⁵ i̯a̠¹³ kɤ̞²⁴ n̠ʲi̯æn¹³
共爺隔娘	kən⁴⁵ i̯a̠¹³ kɤ̞²⁴ n̠ʲi̯æn¹³
关	ku̯an³³
关亮	ku̯an³³ li̯æn²¹⁻¹¹
关场	ku̯an³³ t͡san¹³
关板子	ku̯an³³ pan⁴¹ t͡sz̩³
关节	ku̯an³³ t͡ɕi̯e̞²⁴
关门瞌睡	ku̯an³³ mən¹³ kʰo²⁴ ɕy̯e̞i̯⁴⁵
兴	ɕin³³
兴头子	ɕin⁴⁵ təu̯¹³ t͡sz̩³
兵	pin³³
其	t͡ɕi¹³
具	t͡ɕy⁴⁵
典	ti̯ẽ⁴¹
养子	i̯æn⁴¹ t͡ɕi⁴¹
内	le̞i̯²¹
冇	mɒu̯²¹
冇上冇下	mɒu̯²¹⁻¹¹ san²¹⁻¹¹ mɒu̯²¹⁻¹¹ xa̠²¹⁻¹¹
冇大冇細	mɒu̯²¹⁻¹¹ tai̯²¹⁻¹¹ mɒu̯²¹⁻¹¹ ɕi⁴⁵
冇大冇细	mɒu̯²¹⁻¹¹ tai̯²¹⁻¹¹ mɒu̯²¹⁻¹¹ ɕi⁴⁵
冇得大細	mɒu̯²¹⁻¹¹ tɤ̞²⁴ tai̯²¹⁻¹¹ ɕi⁴⁵
冇得大细	mɒu̯²¹⁻¹¹ tɤ̞²⁴ tai̯²¹⁻¹¹ ɕi⁴⁵
冊	t͡sʰɤ̞²⁴
册	t͡sʰɤ̞²⁴
再	t͡sai̯⁴⁵
再后年	t͡sai̯⁴⁵ xəu̯²¹⁻¹¹ n̠ʲə̃¹³
再後年	t͡sai̯⁴⁵ xəu̯²¹⁻¹¹ n̠ʲə̃¹³
写	ɕi̯a̠⁴¹
写记	ɕi̯e̞⁴¹ t͡ɕi⁴⁵
军	t͡ɕyn³³
农	lən¹³
农民	lən¹³ min¹³
冬	tən³³
冬天	tən³³ tʰi̯ẽ³³
冬月	tən³³ y̯e̞²⁴
冬月子	tən³³ y̯e̞²⁴ t͡sz̩³
冬月間子	tən³³ y̯e̞²⁴ kan³³ t͡sz̩³
冬月间子	tən³³ y̯e̞²⁴ kan³³ t͡sz̩³
冬瓜	tən³³ ku̯a̠³³
冬笋	tən³³ sən⁴¹
冬筍	tən³³ sən⁴¹
冬至	tən³³ t͡sz̩⁴⁵
冬菇	tən³³ ku³³
冰	pin³³
冰棒	pin³³ pan⁴⁵
冰糖	pin³³ tan¹³
冰雹	pin³³ pʰɒu̯⁴⁵
冰雹子	pin³³ pɒu̯⁴⁵ t͡sz̩³
决	t͡ɕy̯e̞²⁴
况	kʰu̯an⁴⁵
冶	i̯e̞⁴¹
冷	lən⁴¹
冷天	lən⁴¹ tʰi̯ẽ³³
冷水	lən⁴¹ ɕy̯e̞i̯⁴¹
净	t͡ɕin⁴⁵
凉	li̯æn¹³
凉茶	li̯æn¹³ t͡sa̠¹³
凉薯	li̯æn¹³ ɕy²¹⁻¹¹
凊	t͡ɕʰin⁴⁵
凌	lin¹³
凑	t͡sʰəu̯⁴⁵
凝	n̠ʲin¹³
几	t͡ɕi⁴¹
几多	t͡ɕi⁴¹ to³³
凡	ɸan¹³
凤凤	xən⁴⁵ xən⁴⁵
凹壳子	i̯e̞²⁴ kʰo²⁴ t͡sz̩³
凹殼子	i̯e̞²⁴ kʰo²⁴ t͡sz̩³
凹秕子	i̯e̞²⁴ pʰi²¹⁻¹¹ t͡sz̩³
凹穀子	i̯e̞²⁴ ku²⁴ t͡sz̩³
凹谷子	i̯e̞²⁴ ku²⁴ t͡sz̩³
出	t͡ɕʰy²⁴
出柩	t͡ɕʰy²⁴ t͡ɕi̯əu̯⁴⁵
出水痘子	t͡ɕʰy²⁴ ɕy̯e̞i̯⁴¹ təu̯²¹⁻¹¹ t͡sz̩³
出痘子	t͡ɕʰy²⁴ təu̯²¹⁻¹¹ t͡sz̩³
出葬	t͡ɕʰy²⁴ t͡san⁴⁵
出麻子	t͡ɕʰy²⁴ ma̠¹³ t͡sz̩³
凼	tõ²¹
函	xan¹³
凿子	t͡sʰo⁴⁵ t͡sz̩³
刀	tɒu̯³³
刀口子	tɒu̯³³ kʰəu̯⁴¹ t͡sz̩³
刀欛豆	tɒu̯³³ pa̠⁴⁵ təu̯²¹⁻¹¹
刀豆	tɒu̯³³ təu̯²¹⁻¹¹
刀馬旦	tɒu̯³³ ma̠⁴¹ tan⁴⁵
刀马旦	tɒu̯³³ ma̠⁴¹ tan⁴⁵
刃	yn⁴⁵
分	ɸən³³
分子	ɸən³³ t͡sz̩³
刊	kʰan³³
刑	ɕin¹³
列	li̯e̞²⁴
刘环须	li̯əu̯¹³ ɸan¹³ ɕi³³
则	t͡sɤ̞²⁴
刚	kan³³
刚合	t͡ɕi̯æn³³ xo²⁴
刚才	kan³³ t͡sai̯¹³
初	t͡sʰəu̯³³
初一	t͡sʰəu̯³³ i²⁴
初头子	t͡sʰəu̯³³ təu̯¹³ t͡sz̩³
初頭子	t͡sʰəu̯³³ təu̯¹³ t͡sz̩³
删	ɕy̯æn³³
判	pʰõ⁴⁵
判得康	pʰõ⁴⁵ tɤ̞³ kʰan³³
別	pʰi̯e̞²⁴
別個	pʰi̯e̞²⁴ ko⁴⁵
利	li²¹
利和	li⁴⁵ xo³
利和骨	li⁴⁵ xo³ ku³
利息	li⁴⁵ ɕi³³
利霸	li⁴⁵ pa̠⁴⁵
刪	ɕy̯æn³³
别	pʰi̯e̞²⁴
别个	pʰi̯e̞²⁴ ko⁴⁵
刮毛毛	ku̯a̠²⁴ mɒu̯¹³ mɒu̯⁴⁵
到	tɒu̯⁴⁵
到屋	tɒu̯⁴⁵ u²⁴
到底	tɒu̯⁴⁵ ti⁴¹
制	t͡sz̩⁴⁵
制服	t͡sz̩⁴⁵ ɸu³
刷	ɕy̯a̠²⁴
刻	kʰɤ̞²⁴
剃头师傅	tʰi⁴⁵ təu̯¹³ sz̩³³ ɸu³
剃头铺	tʰi⁴⁵ təu̯¹³ pʰu⁴⁵
剃頭師傅	tʰi⁴⁵ təu̯¹³ sz̩³³ ɸu³
剃頭鋪	tʰi⁴⁵ təu̯¹³ pʰu⁴⁵
則	t͡sɤ̞²⁴
削	ɕi̯o²⁴
前	t͡ɕi̯ẽ¹³
前去年	t͡ɕi̯ẽ¹³ kʰɤ̞⁴⁵ n̠ʲi̯ẽ¹³
前去日	t͡ɕi̯ẽ¹³ kʰɤ̞⁴⁵ ʐ̩²⁴
前头	t͡ɕi̯ẽ¹³ təu̯³
前年	t͡ɕʰi̯ẽ¹³ n̠ʲi̯ẽ¹³
前頭	t͡ɕi̯ẽ¹³ təu̯³
剑	t͡ɕi̯ẽ⁴⁵
剔	tʰi²⁴
剖	pʰəu̯⁴¹
剛	kan³³
剛合	t͡ɕi̯æn³³ xo²⁴
剛才	kan³³ t͡sai̯¹³
剩	sən⁴⁵
剪	t͡ɕi̯ẽ⁴¹
剪刀	t͡ɕi̯ẽ⁴¹ tɒu̯³³
副	ɸu⁴⁵
割禾	ko²⁴ o¹³
劁	t͡ɕʰi̯ɒu̯³³
劉環鬚	li̯əu̯¹³ ɸan¹³ ɕi³³
劍	t͡ɕi̯ẽ⁴⁵
力	li²⁴
力索	li²⁴ so²⁴
劝	t͡ɕʰy̯ẽ⁴⁵
办	pan⁴⁵
办公	pan²¹⁻¹¹ kən³³
办公桌	pan²¹⁻¹¹ kən³³ t͡so²⁴
功	kən³³
加	t͡ɕi̯a̠³³
务	u²¹
劣	li̯e̞²⁴
动	tən²¹
动手	tən²¹⁻¹¹ səu̯⁴¹
动棋	tən²¹⁻¹¹ t͡ɕi¹³
助	t͡sʰəu̯⁴⁵
劳总	lɒu̯¹³ t͡sən⁴¹
劳空神	lɒu̯¹³ kʰən⁴⁵ sən¹³
劳豆壳子神	lɒu̯¹³ təu̯²¹⁻¹¹ kʰo²⁴ t͡sz̩³ sən¹³
勃	pʰu²⁴
勇	in⁴¹
勋	ɕyn³³
動	tən²¹
動手	tən²¹⁻¹¹ səu̯⁴¹
動棋	tən²¹⁻¹¹ t͡ɕi¹³
務	u²¹
勛	ɕyn³³
勝	sən³³
勞空神	lɒu̯¹³ kʰən⁴⁵ sən¹³
勞總	lɒu̯¹³ t͡sən⁴¹
勞豆殼子神	lɒu̯¹³ təu̯²¹⁻¹¹ kʰo²⁴ t͡sz̩³ sən¹³
勤	t͡ɕin¹³
勸	t͡ɕʰy̯ẽ⁴⁵
勺	ɕi̯o⁴⁵
勿	ɸu²⁴
包	pɒu̯³³
包壶	pɒu̯³³ ɸu¹³
包壺	pɒu̯³³ ɸu¹³
包头	pɒu̯³³ təu̯¹³
包子	pɒu̯³³ t͡sz̩³
包疖	pɒu̯³³ t͡ɕi̯e̞²⁴
包癤	pɒu̯³³ t͡ɕi̯e̞²⁴
包穀	pɒu̯³³ ku²⁴
包菜	pɒu̯³³ t͡sʰai̯⁴⁵
包谷	pɒu̯³³ ku²⁴
包頭	pɒu̯³³ təu̯¹³
化	ɸa̠⁴⁵
北	pɤ̞²⁴
北京	pɤ̞²⁴ t͡ɕin³³
匠	t͡ɕi̯æn²¹
区	t͡ɕʰy³³
医	ɕi³³
医生	i³³ sən³³
匿名信	n̠ʲi²⁴ min¹³ ɕin⁴⁵
區	t͡ɕʰy³³
十	sz̩²⁴
十一	sz̩²⁴ i²⁴
十七	sz̩²⁴ t͡ɕʰi²⁴
十三	sz̩²⁴ san³³
十九	sz̩²⁴ t͡ɕi̯əu̯⁴¹
十二	sz̩²⁴ ɤ̞²¹⁻¹¹
十五	sz̩²⁴ u⁴¹
十八	sz̩²⁴ pa̠²⁴
十六	sz̩²⁴ ləu̯²⁴
十四	sz̩²⁴ sz̩⁴⁵
十月子	sz̩²⁴ y̯e̞²⁴ t͡sz̩³
十月間子	sz̩²⁴ y̯e̞²⁴ kan³³ t͡sz̩³
十月间子	sz̩²⁴ y̯e̞²⁴ kan³³ t͡sz̩³
千	t͡ɕʰi̯ẽ³³
千军万马	t͡ɕʰi̯ẽ³³ t͡ɕyn³³ u̯an⁴⁵ ma̠⁴¹
千变万化	t͡ɕʰi̯ẽ³³ pi̯ẽ⁴⁵ u̯an⁴⁵ ɸa̠⁴⁵
千家万户	t͡ɕʰi̯ẽ³³ t͡ɕi̯a̠³³ u̯an⁴⁵ ɸu⁴⁵
千家萬戶	t͡ɕʰi̯ẽ³³ t͡ɕi̯a̠³³ u̯an⁴⁵ ɸu⁴⁵
千真万确	t͡ɕʰi̯ẽ³³ t͡sən³³ u̯an⁴⁵ kʰo²⁴
千真萬確	t͡ɕʰi̯ẽ³³ t͡sən³³ u̯an⁴⁵ kʰo²⁴
千言万语	t͡ɕʰi̯ẽ³³ i̯ẽ¹³ u̯an⁴⁵ y⁴¹
千言萬語	t͡ɕʰi̯ẽ³³ i̯ẽ¹³ u̯an⁴⁵ y⁴¹
千變萬化	t͡ɕʰi̯ẽ³³ pi̯ẽ⁴⁵ u̯an⁴⁵ ɸa̠⁴⁵
千軍萬馬	t͡ɕʰi̯ẽ³³ t͡ɕyn³³ u̯an⁴⁵ ma̠⁴¹
千辛万苦	t͡ɕʰi̯ẽ³³ ɕin³³ u̯an⁴⁵ kʰu⁴¹
千辛萬苦	t͡ɕʰi̯ẽ³³ ɕin³³ u̯an⁴⁵ kʰu⁴¹
午	u⁴¹
半	põ⁴⁵
半不闌幹	põ⁴⁵ pu²⁴ l̃an¹³ kan³³
半不阑干	põ⁴⁵ pu²⁴ l̃an¹³ kan³³
半夜間子	põ⁴⁵ i̯a̠²¹⁻¹¹ ka̠³³ t͡sz̩³
半夜间子	põ⁴⁵ i̯a̠²¹⁻¹¹ ka̠³³ t͡sz̩³
半天	põ⁴⁵ tʰi̯ẽ³³
半山腰	põ⁴⁵ san³³ i̯ɒu̯³³
半枝笔	põ⁴⁵ t͡sz̩³³ pi²⁴
半枝筆	põ⁴⁵ t͡sz̩³³ pi²⁴
半瓶醋	põ⁴⁵ pin¹³ t͡sʰəu̯⁴⁵
半生不熟	põ⁴⁵ sən³³ pu²⁴ səu̯²⁴
华	ɸa̠¹³
协	ɕi̯e̞²⁴
卑	pe̞i̯³³
卒	t͡səu̯²⁴
卒子	t͡səu̯²⁴ t͡sz̩³
卓	t͡so²⁴
協	ɕi̯e̞²⁴
单	tan³³
单人旁	tan³³ ʐən¹³ pan¹³
单徛人	tan³³ t͡ɕʰi²¹⁻¹¹ ʐən¹³
单抱耳	tan³³ pɒu̯²¹⁻¹¹ ɤ̞⁴¹
单方	tan³³ ɸan³³
单眼皮	tan³³ ŋan⁴¹ pi¹³
单裤	tan³³ kʰu⁴⁵
单褂子	tan³³ ku̯a̠⁴⁵ t͡sz̩³
单身汉	tan³³ sən³³ xan⁴⁵
单车	tan³³ t͡sʰɤ̞³³
单边	tan³³ pi̯ẽ³³
卖	mai̯⁴⁵
南	l̃an¹³
南柯子	l̃an¹³ kʰo³³ t͡sz̩³
南瓜	l̃an¹³ ku̯a̠³³
南竹	l̃an¹³ t͡səu̯²⁴
南竹子	l̃an¹³ t͡səu̯²⁴ t͡sz̩³
南粉	l̃an¹³ ɸən⁴¹
南边	l̃an¹³ pi̯ẽ³³
南邊	l̃an¹³ pi̯ẽ³³
卜卦	pʰu²⁴ ku̯a̠⁴⁵
卡	kʰa̠⁴¹
卦	ku̯a̠⁴⁵
卧	o⁴⁵
卫	u̯e̞i̯²¹
卫生	u̯e̞i̯⁴⁵ sən³³
卫生丸子	u̯e̞i̯⁴⁵ sən³³ y̯ẽ¹³ t͡sz̩³
卫生衣	u̯e̞i̯⁴⁵ sən³³ i³³
卫生裤	u̯e̞i̯⁴⁵ sən³³ kʰu⁴⁵
印	in⁴⁵
印石油	in⁴⁵ sz̩²⁴ i̯əu̯¹³
危	u̯e̞i̯¹³
即	t͡ɕi²⁴
却	t͡ɕʰi̯o²⁴
卵	lõ⁴¹
卵弹琴	lõ⁴¹ tan¹³ t͡ɕʰin¹³
卵弹鬼	lõ⁴¹ tan¹³ ku̯e̞i̯⁴¹
卵彈琴	lõ⁴¹ tan¹³ t͡ɕʰin¹³
卵彈鬼	lõ⁴¹ tan¹³ ku̯e̞i̯⁴¹
卵浆	lõ⁴¹ t͡ɕi̯æn³³
卵漿	lõ⁴¹ t͡ɕi̯æn³³
卷子	t͡ɕy̯ẽ⁴¹ t͡sz̩³
卸	ɕi̯e̞⁴⁵
卸任	ɕi̯e̞⁴⁵ yn²¹⁻¹¹
卻	t͡ɕʰi̯o²⁴
厄	ŋɤ̞²⁴
历	li²⁴
压条	i̯a̠²⁴ ti̯ɒu̯¹³
压马路	i̯a̠²⁴ ma̠⁴¹ ləu̯²¹⁻¹¹
厕	t͡sʰz̩⁴⁵
厚	xəu̯²¹
原	y̯ẽ¹³
原先	y̯ẽ¹³ ɕi̯ẽ³³
厨	t͡ɕy¹³
去	kʰɤ̞⁴⁵
去年	kʰɤ̞⁴⁵ n̠ʲi̯ẽ¹³
去年子	kʰɤ̞⁴⁵ n̠ʲə̃¹³ t͡sz̩³
县	ɕi̯ẽ²¹
又	i̯əu̯²¹
叉	t͡sʰa̠³³
及	t͡ɕi²⁴
友	i̯əu̯⁴¹
双	ɕy̯æn³³
双徛人	ɕy̯æn³³ t͡ɕi²¹⁻¹¹ ʐən¹³
双抱耳	ɕy̯æn³³ pɒu̯²¹⁻¹¹ ɤ̞⁴¹
双眼皮	ɕy̯æn³³ ŋan⁴¹ pi¹³
双胞胎	ɕy̯æn³³ pɒu̯³³ tʰai̯³³
反	ɸan⁴¹
反告	ɸan⁴¹ kɒu̯⁴⁵
反文旁	ɸan⁴¹ u̯ən¹³ pan¹³
反話子	ɸan⁴¹ ɸa̠²¹⁻¹¹ t͡sz̩³
反话子	ɸan⁴¹ ɸa̠²¹⁻¹¹ t͡sz̩³
发	ɸa̠²⁴
发廊	ɸa̠²⁴ l̃an¹³
发懵	ɸa̠²⁴ mən⁴¹
发梦冲	ɸa̠²⁴ mən²¹⁻¹¹ t͡sʰən³³
发梦天	ɸa̠²⁴ mən²¹⁻¹¹ tʰi̯ẽ³³
发气	ɸa̠²⁴ t͡ɕʰi⁴⁵
发汗	ɸa̠²⁴ xan²¹⁻¹¹
发烂	ɸa̠²⁴ l̃an²¹⁻¹¹
发烧	ɸa̠²⁴ sɒu̯³³
发狠	ɸa̠⁴¹ xən²⁴
发痧	ɸa̠²⁴ sa̠³³
发痴	ɸa̠²⁴ t͡sʰz̩³³
发癫	ɸa̠²⁴ ti̯ẽ³³
发票	ɸa̠²⁴ pʰi̯ɒu̯⁴⁵
发笔	ɸa̠²⁴ pi²⁴
发脉	ɸa̠²⁴ mɤ̞²⁴
发脾气	ɸa̠²⁴ pi¹³ t͡ɕʰi⁴⁵
发菜	ɸa̠²⁴ t͡sʰai̯⁴⁵
发蒙	ɸa̠²⁴ mən¹³
发酒癫	ɸa̠²⁴ t͡ɕi̯əu̯⁴¹ ti̯ẽ³³
发面	ɸa̠²⁴ mi̯ẽ²¹⁻¹¹
发风	ɸa̠²⁴ xən³³
叔	səu̯²⁴
叔伯兄弟	səu̯²⁴ pɤ̞²⁴ ɕin³³ ti³
叔外婆	səu̯²⁴ u̯ai̯²¹⁻¹¹ po¹³
叔娭毑	səu̯²⁴ ŋai̯³³ t͡ɕi̯e̞³
叔子	səu̯²⁴ t͡sz̩³
取	t͡ɕʰi⁴¹
受	səu̯²¹
受寒	səu̯²¹⁻¹¹ xan¹³
口	kʰəu̯⁴¹
口乾	kʰəu̯⁴¹ kan³³
口干	kʰəu̯⁴¹ kan³³
口牙	i̯a̠
古	ku⁴¹
句	t͡ɕy⁴⁵
另外	lin²¹⁻¹¹ u̯ai̯²¹⁻¹¹
只	t͡sz̩⁴¹
叫	t͡ɕi̯ɒu̯⁴⁵
叫子	t͡ɕi̯ɒu̯⁴⁵ t͡sz̩³
叫珠子	t͡ɕi̯ɒu̯⁴⁵ t͡ɕy³³ t͡sz̩³
叫莫	t͡ɕi̯ɒu̯⁴⁵ mo³
叫雞	t͡ɕi̯ɒu̯⁴⁵ t͡ɕi³³
叫雞公	t͡ɕi̯ɒu̯⁴⁵ t͡ɕi³³ kən³³
叫驢子	t͡ɕi̯ɒu̯⁴⁵ li¹³ t͡sz̩³
叫驴子	t͡ɕi̯ɒu̯⁴⁵ li¹³ t͡sz̩³
叫鸡	t͡ɕi̯ɒu̯⁴⁵ t͡ɕi³³
叫鸡公	t͡ɕi̯ɒu̯⁴⁵ t͡ɕi³³ kən³³
召	t͡sɒu̯⁴⁵
可	kʰo⁴¹
可以得	kʰo⁴¹ i⁴¹ tɤ̞²⁴
台	tai̯¹³
史	sz̩⁴¹
右	i̯əu̯²¹
右手子	i̯əu̯²¹⁻¹¹ səu̯⁴¹ t͡sz̩³
右边	i̯əu̯²¹⁻¹¹ pi̯ẽ³³
右邊	i̯əu̯²¹⁻¹¹ pi̯ẽ³³
叶	i̯e̞²⁴
叶子	i̯e̞²⁴ t͡sz̩³
号	xɒu̯⁴⁵
号子	xɒu̯²¹⁻¹¹ t͡sz̩³
司机	ɕi³³ t͡ɕi³³
司机生	ɕi³³ t͡ɕi³³ sən³³
司機	ɕi³³ t͡ɕi³³
司機生	ɕi³³ t͡ɕi³³ sən³³
叹	tʰan⁴⁵
叽	t͡ɕi̯ɒu̯⁴⁵
吃	t͡ɕʰi̯a̠²⁴
吃亏	t͡ɕʰi̯a̠²⁴ kʰu̯e̞i̯³³
吃光飯	t͡ɕʰi̯a̠²⁴ ku̯an³³ ɸan²¹⁻¹¹
吃光饭	t͡ɕʰi̯a̠²⁴ ku̯an³³ ɸan²¹⁻¹¹
吃奶	t͡ɕʰi̯a̠²⁴ lai̯⁴¹
吃奶子	t͡ɕʰi̯a̠²⁴ lai̯⁴¹ t͡sz̩³
吃挂面	t͡ɕʰi̯a̠²⁴ ku̯a̠⁴⁵ mi̯ẽ²¹⁻¹¹
吃掛麵	t͡ɕʰi̯a̠²⁴ ku̯a̠⁴⁵ mi̯ẽ²¹⁻¹¹
吃水	t͡ɕʰi̯a̠²⁴ ɕy̯e̞i̯⁴¹
吃烟	t͡ɕʰi̯a̠²⁴ i̯ẽ³³
吃煙	t͡ɕʰi̯a̠²⁴ i̯ẽ³³
吃茶	t͡ɕʰi̯a̠²⁴ t͡sa̠¹³
吃虧	t͡ɕʰi̯a̠²⁴ kʰu̯e̞i̯³³
吃酒	t͡ɕʰi̯a̠²⁴ t͡ɕi̯əu̯⁴¹
吃飯	t͡ɕʰi̯a̠²⁴ ɸan²¹⁻¹¹
吃饭	t͡ɕʰi̯a̠²⁴ ɸan²¹⁻¹¹
各	ko²⁴
合	xo¹³
合事	xo²⁴ sz̩²¹⁻¹¹
吉	t͡ɕi²⁴
同	tən¹³
同学	tən¹³ ɕi̯o²⁴
同學	tən¹³ ɕi̯o²⁴
名	min¹³
后	xəu̯²¹
后头	xəu̯²¹⁻¹¹ təu̯³
后娘	xəu̯²¹⁻¹¹ n̠ʲi̯æn¹³
后娘子	xəu̯²¹⁻¹¹ n̠ʲi̯æn¹³ t͡sz̩³
后年	xəu̯²¹⁻¹¹ n̠ʲi̯ẽ¹³
后悔	xəu̯²¹⁻¹¹ ɸe̞i̯⁴¹
后爷	xəu̯²¹⁻¹¹ i̯a̠¹³
后背	xəu̯²¹⁻¹¹ pe̞i̯⁴⁵
后脑壳	xəu̯²¹⁻¹¹ lɒu̯⁴¹ kʰo²⁴
吏	li⁴⁵
君	t͡ɕyn³³
吝	lin⁴⁵
吝毛	lin⁴⁵ mɒu̯¹³
吟	n̠ʲin¹³
吠	ɸe̞i̯⁴⁵
否	xəu̯⁴¹
听	tʰin³³
听讲	tʰin⁴⁵ kan⁴¹
启	t͡ɕʰi⁴¹
吳	u¹³
吴	u¹³
吵家精	t͡sʰɒu̯⁴¹ ka̠³³ t͡ɕin³³
吸	t͡ɕi²⁴
吸人	ɕi²⁴ ʐən¹³
吸鐵石	ɕi²⁴ tʰi̯e̞²⁴ sz̩²⁴
吸铁石	ɕi²⁴ tʰi̯e̞²⁴ sz̩²⁴
吼	xəu̯⁴¹
呀	i̯a̠
呀呀唔	i̯a̠²¹⁻¹¹ i̯a̠⁴⁵ u¹³
呈	t͡sən¹³
告	kɒu̯⁴⁵
告化子	kɒu̯⁴⁵ ɸa̠⁴⁵ t͡sz̩³
告示	kɒu̯⁴⁵ sz̩⁴⁵
告送	kɒu̯⁴⁵ sən⁴⁵
员	y̯ẽ¹³
周	t͡səu̯³³
味	u̯e̞i̯²¹
味子素	u̯e̞i̯⁴⁵ t͡sz̩³ səu̯⁴⁵
味道	u̯e̞i̯²¹⁻¹¹ tɒu̯⁴⁵
呵喝嗨	o⁴⁵ xo³ xai̯²¹⁻¹¹
呵嘶呵嘶	o⁴⁵ sz̩³³ o⁴⁵ sz̩³³
命	min²¹
和	xo¹³
和尚	xo¹³ san⁴⁵
和尚肉	xo¹³ san⁴⁵ ʐəu̯²⁴
咙	lən¹³
咯	ko²⁴
咯个	kai̯²⁴ ko³
咯些	kai̯²⁴ ɕi̯e̞³
咯個	kai̯²⁴ ko³
咯块子	ko²⁴ kʰu̯ai̯⁴¹ t͡sz̩³
咯塊子	ko²⁴ kʰu̯ai̯⁴¹ t͡sz̩³
咯样	ko²⁴ i̯æn²¹⁻¹¹
咯樣	ko²⁴ i̯æn²¹⁻¹¹
咯气子	kʰai̯²⁴ t͡ɕʰi⁴⁵ t͡sz̩³
咯氣子	kʰai̯²⁴ t͡ɕʰi⁴⁵ t͡sz̩³
咯裡	ko²⁴ li³
咯里	ko²⁴ li³
咳嗽	kʰɤ̞²⁴ səu̯⁴⁵
咸	xan¹³
咸菜	xan¹³ t͡sʰai̯⁴⁵
哀	ŋai̯³³
品	pʰin⁴¹
哈	xa̠³³
哈卵	xa̠⁴¹ lõ⁴¹
哈宝	xa̠⁴¹ pɒu̯⁴¹
哈寶	xa̠⁴¹ pɒu̯⁴¹
哈崽	xa̠⁴¹ t͡sai̯⁴¹
哈巴狗	xa̠⁴¹ pa̠³ kəu̯⁴¹
哈气	xa̠⁴¹ t͡ɕʰi⁴⁵
哈氣	xa̠⁴¹ t͡ɕʰi⁴⁵
响雷	ɕi̯æn⁴¹ le̞i̯¹³
哑子	ŋa̠⁴¹ t͡sz̩³
哒	ta̠
員	y̯ẽ¹³
哥	ko³³
哪个	lai̯⁴¹ ko⁴⁵
哪些	lai̯⁴¹ ɕi̯e̞³
哪個	lai̯⁴¹ ko⁴⁵
哪块子	la̠⁴¹ kʰu̯ai̯⁴¹ t͡sz̩³
哪塊子	la̠⁴¹ kʰu̯ai̯⁴¹ t͡sz̩³
哪裡	la̠⁴¹ li³
哪里	la̠⁴¹ li³
哭	kʰu²⁴
哭丧棍	kʰu²⁴ san⁴⁵ ku̯ən⁴⁵
哭喪棍	kʰu²⁴ san⁴⁵ ku̯ən⁴⁵
